"","Strike","Bid","Ask","Price","In-The-Money"
"VIXW210331C00010000",10,10.3,11.2,10.75,TRUE
"VIXW210331C00015000",15,5.3,6.2,5.75,TRUE
"VIXW210331C00016000",16,4.3,5.2,4.75,TRUE
"VIXW210331C00017000",17,3.3,4.2,3.75,TRUE
"VIXW210331C00018000",18,2.5,3.2,2.85,TRUE
"VIXW210331C00019000",19,1.6,2.2,1.9,TRUE
"VIXW210331C00020000",20,1,1.28,1.14,TRUE
"VIXW210331C00021000",21,0.6,0.85,0.725,FALSE
"VIXW210331C00022000",22,0.45,0.55,0.5,FALSE
"VIXW210331C00023000",23,0.3,0.45,0.375,FALSE
"VIXW210331C00024000",24,0.2,0.32,0.26,FALSE
"VIXW210331C00025000",25,0.18,0.25,0.215,FALSE
"VIXW210331C00026000",26,0.1,0.2,0.15,FALSE
"VIXW210331C00027000",27,0.1,0.2,0.15,FALSE
"VIXW210331C00028000",28,0.05,0.15,0.1,FALSE
"VIXW210331C00029000",29,0.02,0.15,0.085,FALSE
"VIXW210331C00030000",30,0.05,0.15,0.1,FALSE
"VIXW210331C00032500",32.5,0.02,0.05,0.035,FALSE
"VIXW210331C00035000",35,0.01,0.09,0.05,FALSE
"VIXW210331C00037500",37.5,0,0.05,0.025,FALSE
"VIXW210331C00040000",40,0,0.05,0.025,FALSE
"VIXW210331C00042500",42.5,0,0.05,0.025,FALSE
"VIXW210331C00045000",45,0,0.05,0.025,FALSE
"VIXW210331C00047500",47.5,0,0.05,0.025,FALSE
"VIXW210331C00050000",50,0,0.04,0.02,FALSE
"VIXW210331C00055000",55,0,0.03,0.015,FALSE
"VIXW210331C00060000",60,0,0.02,0.01,FALSE
"VIXW210331C00065000",65,0,0.02,0.01,FALSE
"VIXW210331C00070000",70,0,0.02,0.01,FALSE
"VIXW210331C00075000",75,0,0.02,0.01,FALSE
"VIXW210331C00080000",80,0,0.02,0.01,FALSE
"VIXW210331C00095000",95,0,0.02,0.01,FALSE
"VIXW210331C00100000",100,0,0.02,0.01,FALSE
