"","Strike","Bid","Ask","Price","In-The-Money"
"VIXW210331P00014000",14,0,0.05,0,FALSE
"VIXW210331P00016000",16,0,0.02,0,FALSE
"VIXW210331P00017000",17,0.01,0.03,0.01,FALSE
"VIXW210331P00018000",18,0.01,0.04,0.01,FALSE
"VIXW210331P00019000",19,0.05,0.1,0.05,FALSE
"VIXW210331P00020000",20,0.22,0.4,0.22,FALSE
"VIXW210331P00021000",21,0.75,1.03,0.75,TRUE
"VIXW210331P00022000",22,1.5,1.9,1.5,TRUE
"VIXW210331P00023000",23,2.35,2.85,2.35,TRUE
"VIXW210331P00024000",24,3.2,3.8,3.2,TRUE
"VIXW210331P00025000",25,4.15,4.7,4.15,TRUE
"VIXW210331P00026000",26,5,5.75,5,TRUE
"VIXW210331P00027000",27,6,6.7,6,TRUE
"VIXW210331P00028000",28,7,7.7,7,TRUE
"VIXW210331P00029000",29,7.9,8.7,7.9,TRUE
"VIXW210331P00030000",30,8.9,9.6,8.9,TRUE
"VIXW210331P00032500",32.5,11.4,13.09,11.4,TRUE
"VIXW210331P00035000",35,13.9,15.51,13.9,TRUE
"VIXW210331P00037500",37.5,16.4,18.05,16.4,TRUE
"VIXW210331P00040000",40,18.8,19.7,18.8,TRUE
"VIXW210331P00042500",42.5,21.3,22.2,21.3,TRUE
"VIXW210331P00045000",45,23.8,24.7,23.8,TRUE
"VIXW210331P00047500",47.5,26.3,27.96,26.3,TRUE
"VIXW210331P00050000",50,28.8,29.7,28.8,TRUE
